"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","平成30年(2018)","令和元年(2019)","経度","緯度","分類"
"255","304018","【旧】白浜(県)5-2(平成29年廃止)","地価調査(廃止地点)","商業","白浜町","日置字谷ケ地７９番２","","135.449040","33.569060","0","60000","60000","59500","58800","58000","57000","56000","55000","53000","51100","49000","47100","45600","44000","42500","41000","38800","36600","33500","30500","28500","27000","26000","","","","135.449040000006","33.5690599999986","地価調査基準地(廃止地点)"
"284","304280","【旧】串本(県)-5(平成29年廃止)","地価調査(廃止地点)","住宅","串本町","姫字ゴウラ６２６番５外","","135.796900","33.498240","46200","46200","46200","46200","46200","46000","45700","45200","44300","43000","41700","40000","38400","36700","34800","33000","31200","29100","26500","23900","21600","19800","18900","18000","","","","135.796900000003","33.4982399999995","地価調査基準地(廃止地点)"
"285","304280","【旧】串本(県)-6(平成29年廃止)","地価調査(廃止地点)","住宅","串本町","田原字上地４７２番","","135.870170","33.536270","30500","30500","30500","30500","30500","30200","30000","29700","29100","28500","27900","26900","25900","24900","24200","23300","22400","21000","19200","17400","15800","14500","13900","13200","","","","135.870170000003","33.5362699999984","地価調査基準地(廃止地点)"
"95","302031","【旧】橋本(県)-11(平成29年廃止)","地価調査(廃止地点)","住宅","橋本市","高野口町応其字居垣内３３０番","","135.571680","34.313010","0","0","0","0","0","0","50000","49000","47500","43500","40500","39000","36000","34200","33000","32600","31500","30000","28500","27100","25800","24600","23800","23100","","","","135.571680000002","34.3130099999974","地価調査基準地(廃止地点)"
"276","304247","【旧】古座川(県)5-1(平成29年廃止)","地価調査(廃止地点)","商業","古座川町","高池字江崎３４番５外","","135.822230","33.524480","69000","69000","69000","69000","68000","67200","65900","65000","64000","62400","60000","57000","53600","49900","46500","43300","40000","36800","33200","30000","27200","25900","25100","24300","","","","135.822230000001","33.5244799999995","地価調査基準地(廃止地点)"
"130","302066","【旧】田辺(県)-17(平成29年廃止)","地価調査(廃止地点)","住宅","田辺市","下川下字打越７５４番外","","135.587190","33.744490","8000","8000","8000","8000","8000","7900","7850","7850","7800","7650","7500","7300","7100","6900","6650","6400","6390","6290","6150","6010","5870","5810","5790","5770","","","","135.587190000006","33.7444899999986","地価調査基準地(廃止地点)"
"275","304247","【旧】古座川(県)-3(平成29年廃止)","地価調査(廃止地点)","住宅","古座川町","高池字江崎１８２番","","135.821280","33.526020","52000","52000","52000","52000","52000","51500","51100","50800","50300","49100","47800","45500","43300","41000","38900","36500","34200","31700","29000","26400","24000","23200","22700","21900","","","","135.821280000002","33.5260199999991","地価調査基準地(廃止地点)"
"288","302066","【旧】和歌山(林)-2(平成29年廃止)","地価調査(廃止地点)","林地","田辺市","龍神村甲斐ノ川字玉谷１２９８番２","","135.432650","33.896800","0","0","0","0","0","0","28000","27000","26500","26500","25800","24700","21500","19000","18000","17000","15400","14000","12700","11500","11000","10800","10600","10400","","","","135.432650000005","33.8968000000001","地価調査基準地(廃止地点)"
"7","302015","【旧】和歌山(県)-7(平成30年廃止)","地価調査","住宅","和歌山市","吉礼字箱田５２３番１２","","135.236410","34.201070","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54000","51300","48300","45400","43000","42000","41300","40600","40000","39600","","","135.236410000003","34.2010699999968","地価調査基準地(廃止地点)"
"20","302015","【旧】和歌山(県)-20(平成30年廃止)","地価調査","住宅","和歌山市","和歌浦南２丁目１６６３番３３","和歌浦南２－５－１０","135.167630","34.188350","177000","177000","175000","172000","168000","161000","153000","144000","136000","129000","122000","116000","110000","104000","98800","94800","90000","84700","78800","72500","69000","66900","63800","61500","59800","","","135.167630000004","34.1883499999968","地価調査基準地(廃止地点)"
"30","302015","【旧】和歌山(県)-30(平成30年廃止)","地価調査","住宅","和歌山市","加納字長池３６１番３９外","","135.206160","34.241780","155000","155000","152000","150000","149000","145000","135000","130000","125000","113000","104000","98500","88000","83500","78500","73800","70000","66000","63500","61300","59800","58500","57400","56500","55800","","","135.206160000002","34.2417799999972","地価調査基準地(廃止地点)"
"295","302015","【旧】和歌山(県)-33*(平成30年廃止)","地価調査","住宅","和歌山市","西庄字清田２５１番１１","","135.119560","34.259430","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53500","51000","48600","47000","47000","46700","46400","","","135.119560000002","34.2594299999983","地価調査基準地(廃止地点)"
"72","302023","【旧】海南(県)-3*(平成30年廃止)","地価調査","住宅","海南市","大野中字井田前４７４番５８","","135.221700","34.154000","132000","132000","132000","132000","131000","131000","131000","130000","126000","121000","113000","106000","98500","93000","90100","88100","85500","82600","82100","80000","78800","78400","78000","76900","76300","","","135.221700000006","34.1539999999957","地価調査基準地(廃止地点)"
"83","302023","【旧】海南(県)9-2(平成30年廃止)","地価調査","工業","海南市","岡田字クツリ２２３番２６","","135.220240","34.173670","81000","81000","79500","79000","78500","78300","76500","75000","71200","67000","61000","56800","52800","49500","47500","46000","44600","42700","40500","38300","36300","35800","34000","32500","31200","","","135.220240000004","34.1736699999956","地価調査基準地(廃止地点)"
"90","302031","【旧】橋本(県)-6*(平成30年廃止)","地価調査","住宅","橋本市","古佐田３丁目５４４番３","古佐田３－９－１２","135.615790","34.320430","0","0","0","0","0","0","0","0","76600","71000","64000","60000","56000","52600","52000","52000","50500","48000","45900","43800","40800","39400","38100","37000","36200","","","135.615790000003","34.3204299999972","地価調査基準地(廃止地点)"
"96","302031","【旧】橋本(県)3-1(平成30年廃止)","地価調査","宅見","橋本市","隅田町芋生字鳥井戸２７番３","","135.649870","34.328620","0","0","0","0","0","35000","34000","33000","30300","28000","25000","22000","20000","18200","17000","16500","15600","14700","13800","13100","12500","12000","11500","11100","10700","","","135.649870000004","34.3286199999993","地価調査基準地(廃止地点)"
"106","302040","【旧】有田(県)9-1(平成30年廃止)","地価調査","工業","有田市","新堂字天神２０８番１","","135.135250","34.084150","140000","135000","132000","130000","128000","126000","121000","117000","113000","108000","102000","96000","90000","84000","81900","78600","73900","68700","62500","56300","51200","47900","44800","41500","40000","","","135.135250000006","34.0841499999972","地価調査基準地(廃止地点)"
"161","302082","【旧】紀の川(県)-15(平成30年廃止)","地価調査","住宅","紀の川市","桃山町善田字垣内１１６３番１内","","135.389010","34.221040","16600","16600","16600","16600","16600","16400","16000","15800","15300","15000","14700","14200","13700","13200","12700","12300","11800","10800","10500","9900","9300","8730","8470","8220","8040","","","135.389010000001","34.2210399999956","地価調査基準地(廃止地点)"
"316","303046","【旧】紀美野(県)5-1(平成30年廃止)","地価調査","商業","紀美野町","小畑字寺東４８５番２外","","135.300030","34.165370","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","33300","32800","32400","","","135.300030000007","34.1653699999968","地価調査基準地(廃止地点)"
"224","303828","【旧】日高(県)5-1(平成30年廃止)","地価調査","商業","日高町","大字萩原字西前田８７３番３内","","135.143600","33.925820","0","0","0","0","0","0","0","0","0","74400","73000","71500","69000","65600","62400","59400","56000","52600","49300","46500","44100","42000","40300","39700","38800","","","135.143600000004","33.9258199999976","地価調査基準地(廃止地点)"
"232","303909","【旧】印南(県)5-1(平成30年廃止)","地価調査","商業","印南町","大字印南字本郷３１４８番２","","135.220150","33.813350","78600","78000","78000","78000","77000","76000","75200","74500","73300","71300","69000","67000","65000","62000","60100","55900","52000","47300","43900","40800","38000","35400","33100","31500","30500","","","135.220150000002","33.8133499999988","地価調査基準地(廃止地点)"
"289","303666","【旧】和歌山(林)-3(平成30年廃止)","地価調査","林地","有田川町","大字糸川字岩原８７７番外","","135.267300","34.037860","248000","248000","248000","245000","240000","225000","214000","203000","193000","183000","170000","160000","144000","130000","117000","105000","94000","83000","73000","64200","56600","49800","45000","41500","38600","","","135.267300000003","34.0378599999997","地価調査基準地(廃止地点)"
"290","304247","【旧】和歌山(林)-4(平成30年廃止)","地価調査","林地","古座川町","小川字長７５４番１","","135.762000","33.598510","38500","38500","38500","38000","37000","36000","35000","34000","33000","30000","27000","25000","22000","19000","17500","16000","14500","13000","11700","10500","10000","9850","9800","9750","9650","","","135.762000000005","33.5985099999986","地価調査基準地(廃止地点)"
"143","302074","【旧】新宮(県)5-1(平成30年廃止)","地価調査","商業","新宮市","神倉２丁目１４１３番１","","135.986740","33.723220","230000","228000","226000","224000","220000","213000","205000","190000","181000","170000","155000","145000","137000","126000","116000","111000","104000","99700","88000","78000","73700","71500","70500","69500","68600","","","135.986740000005","33.723220000002","地価調査基準地(廃止地点)"
"79","302023","【旧】海南(県)-3(令和元年廃止)","地価調査","住宅","海南市","下津町上字宮ノ前７４０番","","135.163900","34.108470","0","45000","45000","45000","45000","45000","44700","44500","44300","43000","41300","40100","39000","37900","36900","35800","34600","33300","32000","30700","29500","28800","28100","27500","27000","26600","","135.163900000005","34.1084699999967","地価調査基準地(廃止地点)"
"296","302023","【旧】海南(県)5-1(令和元年廃止)","地価調査","商業","海南市","船尾字居村濱１５４番１０","","135.202980","34.161050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72000","70000","66500","64300","62700","61500","60500","59200","","135.202980000005","34.1610499999959","地価調査基準地(廃止地点)"
"92","302031","【旧】橋本(県)-8(令和元年廃止)","地価調査","住宅","橋本市","出塔字寺前７５番４","","135.584640","34.327100","43000","43000","43000","43000","43000","43000","42500","42000","41000","40000","37800","36500","34800","33400","32500","32200","31200","29700","28200","26800","25200","23700","23000","22300","21800","21500","","135.584640000003","34.3270999999978","地価調査基準地(廃止地点)"
"118","302066","【旧】田辺(県)-5(令和元年廃止)","地価調査","住宅","田辺市","新庄町字名喜里１９２１番３外","","135.404390","33.715700","84700","84700","84000","83600","83000","81800","78500","73800","71600","68600","65700","62600","59100","57600","55000","53000","51000","49000","46000","43300","41000","39500","38000","36600","35500","34500","","135.404390000004","33.7156999999995","地価調査基準地(廃止地点)"
"123","302066","【旧】田辺(県)-10(令和元年廃止)","地価調査","住宅","田辺市","龍神村東字丹生平３９１番１","","135.492960","33.889640","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11000","10800","10600","10500","10300","10200","10100","10000","9880","9750","","135.492960000002","33.889639999999","地価調査基準地(廃止地点)"
"322","302066","【旧】田辺(県)-11(令和元年廃止)","地価調査","住宅","田辺市","下川下字宮平９５９番","","135.584164","33.741799","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","4350","4350","","135.584164000006","33.7417989999985","地価調査基準地(廃止地点)"
"125","302066","【旧】田辺(県)-12(令和元年廃止)","地価調査","住宅","田辺市","龍神村福井字中家１５０番１","","135.438740","33.888570","0","0","0","10300","10300","10300","10300","10300","10300","10300","10200","10100","10000","9900","9700","9500","9400","9300","8690","8600","8510","8430","8350","8300","8240","8200","","135.438740000005","33.8885699999995","地価調査基準地(廃止地点)"
"144","302074","【旧】新宮(県)5-2(令和元年廃止)","地価調査","商業","新宮市","新宮字上熊野７６４７番１","","135.992390","33.727240","270000","270000","268000","266000","260000","251000","241000","212000","192000","180000","164000","150000","140000","127000","116000","110000","102000","96300","86500","77300","72700","70100","67500","65400","63600","61700","","135.992390000005","33.7272400000026","地価調査基準地(廃止地点)"
"147","302082","【旧】紀の川(県)-1(令和元年廃止)","地価調査","住宅","紀の川市","窪字小田４３番４１","","135.375250","34.256920","77500","77500","75000","72000","70000","68000","65000","62500","58900","54400","50000","45500","41000","39000","37000","35300","33200","31100","29000","28000","27000","26000","26000","26000","26000","26000","","135.375250000002","34.2569199999992","地価調査基準地(廃止地点)"
"162","302082","【旧】紀の川(県)-5(令和元年廃止)","地価調査","住宅","紀の川市","貴志川町丸栖字井ノ奥１５６７番１３","","135.323850","34.238300","72800","72800","72800","70800","69200","67500","62600","58800","55700","52200","48300","44700","41300","39100","37500","35500","33700","30800","29400","27800","26200","25300","24700","24300","24000","23800","","135.323850000007","34.2382999999972","地価調査基準地(廃止地点)"
"158","302082","【旧】紀の川(県)-12(令和元年廃止)","地価調査","住宅","紀の川市","北涌字木ノ下４４１番９","","135.442700","34.266090","0","0","0","0","0","0","0","0","0","0","0","19000","18000","17000","16000","15200","14400","13400","12500","11700","11400","11100","11100","11100","11100","11100","","135.442700000009","34.2660899999935","地価調査基準地(廃止地点)"
"164","302082","【旧】紀の川(県)5-2(令和元年廃止)","地価調査","商業","紀の川市","粉河字西前田４１８番２外","","135.408200","34.269140","0","0","0","0","0","135000","125000","117000","112000","104000","92500","82400","71800","67000","63300","60100","56200","53000","50000","48000","45200","43000","40800","39100","37800","37000","","135.408200000004","34.2691399999961","地価調査基準地(廃止地点)"
"166","302082","【旧】紀の川(県)5-4(令和元年廃止)","地価調査","商業","紀の川市","桃山町元字中田３６１番１","","135.351390","34.239580","90200","90200","90200","89200","88300","85200","81000","77000","73900","70300","64700","59400","54500","50500","47500","44900","42400","38500","36500","33600","31500","30200","29200","28300","27600","27100","","135.351390000005","34.2395799999962","地価調査基準地(廃止地点)"
"194","303445","【旧】高野(県)-1(令和元年廃止)","地価調査","住宅","高野町","大字高野山字西院谷２３４番６","","135.575050","34.213400","54500","54500","54500","54500","54500","54000","53500","53000","52500","52000","51000","50000","49000","48000","47500","47300","46000","45100","43100","41800","39500","37500","36000","34600","33300","32100","","135.575050000004","34.2133999999974","地価調査基準地(廃止地点)"
"226","303836","【旧】由良(県)-2(令和元年廃止)","地価調査","住宅","由良町","大字吹井字柳原２５２番４８","","135.103970","33.967550","38000","38000","38000","37800","37800","37800","37800","37700","37700","37500","37300","36900","36000","34800","33800","32800","31300","29800","28300","26500","25200","24200","23500","22900","22500","22300","","135.103970000004","33.9675499999985","地価調査基準地(廃止地点)"
"269","304221","【旧】太地(県)-1(令和元年廃止)","地価調査","住宅","太地町","大字森浦字オソ作２５８番４","","135.928080","33.591310","46000","46000","46000","46000","46000","45000","44500","43600","42500","41200","40000","38000","36200","34700","33000","31500","29900","27800","25400","23500","21600","20600","19700","18900","18200","17600","","135.928080000006","33.5913099999967","地価調査基準地(廃止地点)"
"273","304247","【旧】古座川(県)-1(令和元年廃止)","地価調査","住宅","古座川町","佐田字浦地平４５７番３","","135.697590","33.594840","0","0","0","0","0","0","4940","4900","4850","4790","4730","4670","4610","4550","4490","4420","4320","4170","4000","3840","3690","3600","3540","3480","3450","3420","","135.697590000002","33.5948399999998","地価調査基準地(廃止地点)"
"278","304271","【旧】北山(県)-2(令和元年廃止)","地価調査","住宅","北山村","大字下尾井字片ブケ５３番２","","135.951800","33.938530","10400","10400","10400","10400","10400","10200","10000","10000","9800","9700","9500","9300","9100","8900","8600","8400","8200","7900","7600","7400","7200","7000","6860","6750","6650","6550","","135.951800000005","33.9385299999993","地価調査基準地(廃止地点)"
"280","304280","【旧】串本(県)-1(令和元年廃止)","地価調査","住宅","串本町","田並字円光寺前１０６０番３","","135.716470","33.486030","30800","30800","30800","30800","30800","30800","30300","30000","29600","29000","28300","27600","26900","26100","25400","24500","23500","22000","20200","18200","16500","15100","14500","13800","13100","12500","","135.716470000008","33.4860299999999","地価調査基準地(廃止地点)"
"1","302015","和歌山(県)-1","地価調査","住宅","和歌山市","雑賀道６番","","135.181210","34.225640","270000","265000","255000","242000","222000","206000","184000","167000","153000","145000","134000","124000","117000","114000","114000","113000","111000","107000","105000","102000","99100","99100","99100","99100","99100","99100","99100","135.181210000003","34.2256399999964","令和元年地価調査基準地"
"2","302015","和歌山(県)-2","地価調査","住宅","和歌山市","塩屋５丁目１４４番１３","塩屋５－５－４３","135.178840","34.199090","180000","180000","174000","170000","167000","161000","154000","146000","138000","130000","123000","115000","108000","104000","103000","102000","100000","95000","90000","87000","84300","83200","82100","81000","80200","79600","79200","135.178840000002","34.1990899999986","令和元年地価調査基準地"
"3","302015","和歌山(県)-3","地価調査","住宅","和歌山市","有家字寺田２６２番６","","135.197430","34.221870","155000","155000","151000","148000","145000","143000","134000","131000","128000","120000","112000","103000","94700","89000","86500","85600","83400","80600","77000","74800","73300","72200","71500","71000","70800","70700","70700","135.197430000002","34.2218699999975","令和元年地価調査基準地"
"4","302015","和歌山(県)-4","地価調査","住宅","和歌山市","狐島字西淀屋６１５番１００外","","135.147810","34.249810","120000","120000","119000","118000","118000","110000","99500","92100","85700","80600","76000","72000","65000","61400","60200","59500","57900","55000","52000","49000","46500","44600","43100","42000","41500","41100","40700","135.14781","34.2498099999983","令和元年地価調査基準地"
"5","302015","和歌山(県)-5","地価調査","住宅","和歌山市","南田辺丁２７番","","135.163900","34.223960","0","0","0","0","0","0","180000","171000","164000","153000","144000","134000","125000","121000","121000","121000","117000","113000","110000","107000","105000","105000","105000","106000","107000","108000","109000","135.163900000006","34.22396","令和元年地価調査基準地"
"6","302015","和歌山(県)-6","地価調査","住宅","和歌山市","三葛字的場６６４番１３","","135.191270","34.193270","0","0","0","0","0","130000","125000","121000","118000","106000","96500","90000","85000","80500","77000","74000","70600","68100","65600","63500","61700","60500","59200","58000","57100","56400","56100","135.191270000002","34.1932699999983","令和元年地価調査基準地"
"31","302015","和歌山(県)-7*","地価調査","住宅","和歌山市","太田字神ノ畔１５２番","","135.197900","34.227680","318000","306000","295000","277000","251000","226000","201000","183000","170000","161000","153000","144000","138000","133000","135000","135000","132000","128000","126000","124000","124000","126000","127000","129000","131000","131000","132000","135.197900000002","34.2276799999973","令和元年地価調査基準地"
"8","302015","和歌山(県)-8","地価調査","住宅","和歌山市","粟字重道ノ坪１８１番２７","","135.167200","34.253430","143000","143000","140000","137000","136000","127000","116000","105000","94500","89000","84000","80000","76500","72000","71000","67000","65000","62400","58500","56200","55100","53500","52000","50900","50000","49200","48500","135.167200000002","34.253429999998","令和元年地価調査基準地"
"9","302015","和歌山(県)-9","地価調査","住宅","和歌山市","宇須２丁目３５４番２８","宇須２－２－１８","135.174640","34.212300","205000","205000","197000","192000","189000","173000","160000","148000","138000","130000","122000","114000","108000","103000","102000","101000","99500","96000","92600","91000","90000","89500","89500","90000","90500","90500","90500","135.174640000003","34.2122999999979","令和元年地価調査基準地"
"10","302015","和歌山(県)-10","地価調査","住宅","和歌山市","禰宜字瓜畑１３６０番１６","","135.245610","34.243290","100000","100000","99500","99000","99000","97000","95000","90000","86000","81000","76300","71900","66000","63400","60900","58500","56200","53500","48000","46300","45800","44200","42500","41700","41300","40900","40500","135.245610000002","34.243289999999","令和元年地価調査基準地"
"317","302015","和歌山(県)-11","地価調査","住宅","和歌山市","関戸１丁目８３番１０","関戸１－３－３","135.168491","34.200089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110000","110000","111000","112000","135.168491000005","34.2000889999974","令和元年地価調査基準地"
"12","302015","和歌山(県)-12","地価調査","住宅","和歌山市","北中島１丁目９７番１５","北中島１－９－４４","135.187080","34.210560","176000","176000","173000","170000","165000","155000","147000","135000","127000","120000","112000","105000","97000","92000","91000","90000","88000","85500","82300","80700","79000","78000","76800","75700","74700","74000","73400","135.187080000002","34.2105599999976","令和元年地価調査基準地"
"309","302015","和歌山(県)-13","地価調査","住宅","和歌山市","大谷字雨谷８３１番７７","","135.177600","34.262690","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45900","45300","45500","45500","45500","45300","135.177600000002","34.2626899999973","令和元年地価調査基準地"
"14","302015","和歌山(県)-14","地価調査","住宅","和歌山市","西浜字中川向ノ坪１４２４番６外","","135.155650","34.208080","124000","124000","122000","120000","119000","117000","114000","108000","102000","92300","83500","78500","75200","72900","70700","68600","66100","62700","59000","57200","54500","51300","48800","46800","45000","43600","42700","135.155650000003","34.208079999999","令和元年地価調査基準地"
"15","302015","和歌山(県)-15","地価調査","住宅","和歌山市","木ノ本字岩ノ谷１４５０番５０","","135.129090","34.270550","105000","105000","105000","101000","98000","94000","83500","76500","68900","64800","58800","53000","48000","44400","41500","40000","38000","36600","34200","31000","29500","28800","28100","28000","28200","28400","28600","135.129090000003","34.2705499999979","令和元年地価調査基準地"
"16","302015","和歌山(県)-16","地価調査","住宅","和歌山市","松江東４丁目１１６７番５９","松江東４－７－３７","135.140730","34.247110","150000","147000","146000","145000","143000","134000","121000","111000","102000","92000","85000","78200","73500","69500","66700","65400","63400","61500","59000","56600","54500","52900","51900","51200","50600","50100","49700","135.140730000002","34.2471099999984","令和元年地価調査基準地"
"17","302015","和歌山(県)-17","地価調査","住宅","和歌山市","西高松２丁目１２５番１３","西高松２－１１－３１","135.168160","34.204980","279000","270000","261000","245000","228000","213000","196000","185000","180000","172000","163000","154000","145000","141000","140000","140000","138000","136000","134000","132000","131000","131000","131000","133000","134000","134000","134000","135.168160000005","34.2049799999973","令和元年地価調査基準地"
"18","302015","和歌山(県)-18","地価調査","住宅","和歌山市","西浜字郷西ノ坪１０６３番４５","","135.157570","34.192280","157000","157000","155000","154000","153000","151000","149000","139000","132000","124000","118000","113000","107000","103000","99900","97000","94000","89800","85500","83000","81000","78500","76600","75000","73500","72200","71100","135.157570000004","34.1922799999997","令和元年地価調査基準地"
"19","302015","和歌山(県)-19","地価調査","住宅","和歌山市","和歌浦東３丁目５９５番２３","和歌浦東３－２－２３","135.177220","34.191850","153000","153000","151000","149000","147000","147000","142000","135000","128000","120000","113000","106000","98700","92900","90000","87500","84700","81700","78000","76400","72700","70500","68500","66600","65000","63700","62400","135.177220000003","34.191849999998","令和元年地価調査基準地"
"68","302015","和歌山(県)-20","地価調査","住宅","和歌山市","朝日字荒毛１番２","","135.220920","34.191540","55300","55300","55000","55000","55000","55000","55000","54300","53500","52700","49900","47500","44500","42300","41800","41000","38200","36000","33500","31200","29100","27500","26500","25700","25200","25000","24800","135.220920000003","34.1915399999964","令和元年地価調査基準地"
"21","302015","和歌山(県)-21","地価調査","住宅","和歌山市","黒田字桑ノ木２２９番１０外","","135.197170","34.238020","0","160000","160000","157000","155000","153000","145000","139000","134000","119000","113000","106000","99600","95500","95000","91700","88500","84500","81100","77800","73000","70000","66600","65300","64600","64600","64600","135.197170000003","34.2380199999972","令和元年地価調査基準地"
"297","302015","和歌山(県)-22","地価調査","住宅","和歌山市","中字枇杷谷５８３番４１","","135.147210","34.270460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61100","63400","68800","74000","75800","76200","76400","76600","135.147210000002","34.2704599999979","令和元年地価調査基準地"
"23","302015","和歌山(県)-23","地価調査","住宅","和歌山市","秋月字川田９３番３２","","135.204180","34.234140","156000","156000","153000","151000","150000","149000","143000","138000","134000","127000","120000","113000","103000","99500","96500","95000","92500","88500","84000","80000","78000","76500","72500","71100","70400","70400","70400","135.204180000002","34.2341399999974","令和元年地価調査基準地"
"67","302015","和歌山(県)-24","地価調査","住宅","和歌山市","田屋字辻堂４７３番","","135.227320","34.258090","49500","49500","49500","49500","49000","48500","48500","48000","47500","46800","42200","39000","34400","33500","32700","31900","31000","30200","29300","28700","28100","27800","27500","26700","26300","26000","25700","135.227320000003","34.258089999996","令和元年地価調査基準地"
"25","302015","和歌山(県)-25*","地価調査","住宅","和歌山市","西長町２丁目３８番","","135.161670","34.225600","300000","287000","278000","258000","238000","217000","193000","183000","175000","166000","158000","145000","136000","132000","134000","135000","131000","126000","124000","120000","117000","117000","117000","119000","121000","121000","122000","135.161670000006","34.2256000000003","令和元年地価調査基準地"
"26","302015","和歌山(県)-26","地価調査","住宅","和歌山市","中之島字東垣内１８９７番外","","135.181390","34.238530","0","0","0","217000","210000","195000","176000","166000","157000","148000","140000","133000","124000","120000","120000","119000","118000","116000","113000","109000","106000","104000","102000","102000","102000","102000","102000","135.181390000004","34.2385299999974","令和元年地価調査基準地"
"38","302015","和歌山(県)-27","地価調査","住宅","和歌山市","毛見字塩田１３５番３５","","135.190290","34.163940","164000","160000","158000","157000","154000","150000","147000","140000","132000","124000","118000","110000","104000","98300","94500","89500","85500","82600","80800","78100","75500","73300","70500","68000","66300","65000","63500","135.190290000003","34.1639399999955","令和元年地価調査基準地"
"302","302015","和歌山(県)-28","地価調査","住宅","和歌山市","吹上４丁目６番１０","吹上４－２－３６","135.171500","34.215950","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","172000","177000","186000","190000","193000","194000","194000","135.171500000004","34.2159499999988","令和元年地価調査基準地"
"29","302015","和歌山(県)-29","地価調査","住宅","和歌山市","小松原６丁目５番６７","小松原６－６－７","135.166730","34.216430","223000","215000","207000","205000","200000","181000","168000","159000","151000","138000","127000","118000","112000","109000","107000","106000","103000","99300","96800","94500","92700","92000","91200","91000","91000","91000","91000","135.166730000005","34.2164299999989","令和元年地価調査基準地"
"39","302015","和歌山(県)-30*","地価調査","住宅","和歌山市","向字高屋敷４５番１２","","135.148230","34.257000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62500","60500","58000","54500","52100","51000","50100","49600","49400","49000","48500","48100","135.148230000001","34.2569999999982","令和元年地価調査基準地"
"66","302015","和歌山(県)-31","地価調査","住宅","和歌山市","中筋日延字小柴２６１番","","135.271970","34.272160","42000","42000","42000","42000","42000","41500","41000","40500","40100","39500","38800","38100","32400","29300","28000","27000","25500","24500","23000","22000","21600","21300","21100","20900","20600","20400","20200","135.271970000004","34.2721599999995","令和元年地価調査基準地"
"318","302015","和歌山(県)3-1","地価調査","宅見","和歌山市","楠見中字北川２８０番","","135.176744","34.256148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14100","14000","14000","14000","135.176744000002","34.2561482999975","令和元年地価調査基準地"
"41","302015","和歌山(県)3-2","地価調査","宅見","和歌山市","井辺字儀法堂３２番","","135.210500","34.222000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22000","21900","21800","21300","20400","19700","19000","18900","18600","18600","18600","18800","19000","135.210500000002","34.2219999999979","令和元年地価調査基準地"
"42","302015","和歌山(県)5-1*","地価調査","商業","和歌山市","友田町５丁目５０番外","","135.189630","34.232440","0","0","0","0","0","0","903000","805000","696000","668000","605000","548000","514000","507000","515000","530000","520000","500000","477000","455000","438000","438000","438000","438000","438000","438000","441000","135.189630000003","34.2324399999969","令和元年地価調査基準地"
"43","302015","和歌山(県)5-2","地価調査","商業","和歌山市","元寺町４丁目５番","","135.176700","34.238640","825000","690000","590000","504000","425000","368000","335000","302000","270000","240000","212000","206000","190000","180000","175000","172000","167000","163000","161000","157000","152000","150000","150000","150000","151000","152000","153000","135.176700000003","34.2386399999974","令和元年地価調査基準地"
"63","302015","和歌山(県)5-3","地価調査","商業","和歌山市","三葛字北向浜３４４番４外","","135.185590","34.193360","400000","360000","295000","250000","240000","215000","195000","181000","174000","161000","148000","138000","128000","123000","123000","123000","122000","119000","115000","114000","113000","112000","112000","113000","114000","115000","115000","135.185590000002","34.1933599999982","令和元年地価調査基準地"
"45","302015","和歌山(県)5-4","地価調査","商業","和歌山市","十一番丁４３番","","135.175920","34.231990","700000","600000","510000","425000","368000","331000","295000","266000","226000","208000","185000","165000","153000","147000","147000","147000","143000","137000","131000","125000","120000","120000","122000","124000","126000","128000","130000","135.175920000004","34.2319899999969","令和元年地価調査基準地"
